year,firm,lsales,lcapital,llabor,sk_labor,lmaterials,foreign,export,intangibles,ownership
2004,1,10.42139,9.848661,5.308268,0.2673267,9.964441,0.25,1,1,0
2005,1,10.87933,10.06505,5.438079,0.2673267,10.45363,0.25,1,1,0
2006,1,11.28274,10.0939,5.493062,0.2673267,10.83685,0.25,1,1,0
2004,2,9.355739,8.774158,4.025352,0.0,8.940368,0.0,0,0,0
2005,2,9.313799,8.874867,4.025352,0.0,9.021598,0.0,0,0,0
2006,2,9.574984,8.874867,4.043051,0.0,9.229359,0.0,0,0,0
2004,3,10.26879,10.81717,5.56452,0.5823755,9.180706,0.0,0,1,0
2005,3,10.06233,10.76403,5.537334,0.5823755,7.701653,0.0,0,1,0
2006,3,8.765303,11.04652,4.762174,0.5823755,9.179469,0.0,0,1,0
2004,4,9.302464,10.48988,5.351858,0.1374408,7.74846,0.0,0,1,0
2005,4,9.337766,10.45938,5.57973,0.1374408,8.993676,0.0,0,1,0
2006,4,9.21004,10.4615,5.505332,0.1374408,8.767797,0.0,0,1,0
2004,5,9.050172,7.307873,3.555348,0.2,7.022868,0.0,0,0,1
2005,5,8.993054,8.083328,3.871201,0.2,7.881938,0.0,0,0,1
2006,5,9.08421,7.628518,3.871201,0.2,7.072422,0.0,0,0,1
2004,6,10.81681,8.75005,5.398163,0.321267,9.443593,0.0,0,0,1
2005,6,10.54207,8.743372,5.32301,0.321267,9.203718,0.0,0,0,1
2006,6,9.945684,8.956866,5.236442,0.321267,8.657303,0.0,0,0,1
2004,7,9.445966,8.719971,3.526361,0.1470588,9.175956,0.0,0,0,1
2005,7,9.7029,8.875846,3.555348,0.1470588,9.496947,0.0,0,0,1
2006,7,9.775143,8.991936,3.931826,0.1470588,9.550947,0.0,0,0,1
2004,8,8.863333,9.642642,4.454347,0.1046512,6.701961,0.0,0,0,1
2005,8,8.545392,7.237059,4.488636,0.1046512,7.053586,0.0,0,0,1
2006,8,7.821643,9.228376,4.442651,0.1046512,6.638568,0.0,0,0,1
2004,9,7.756196,6.559615,3.951244,0.1923077,6.1717,0.0,0,0,1
2005,9,7.47817,6.496775,4.204693,0.1923077,6.104793,0.0,0,0,1
2006,9,7.399398,7.783224,3.970292,0.1923077,6.234411,0.0,0,0,1
2004,10,8.739697,8.687948,3.610918,0.4324324,6.295266,0.0,0,1,0
2005,10,8.790269,9.184407,4.584968,0.4324324,5.849325,0.0,0,1,0
2006,10,8.99293,8.249576,4.382027,0.4324324,5.393628,0.0,0,1,0
2004,11,10.34801,10.07761,4.934474,0.4892086,8.92572,0.0,1,0,1
2005,11,10.55717,10.12134,4.997212,0.4892086,9.321166,0.0,1,0,1
2006,11,10.60314,9.805324,5.068904,0.4892086,9.468465,0.0,1,0,1
2004,12,9.935906,7.118826,3.295837,0.037037,9.734832,0.0,0,0,0
2005,12,9.813946,7.186144,3.555348,0.037037,9.526464,0.0,0,1,0
2006,12,10.19947,7.627544,3.496508,0.037037,10.18316,0.0,0,1,0
2004,13,11.54579,10.81013,5.805135,0.1626506,10.25696,0.0,1,1,0
2005,13,11.56747,10.67151,5.231109,0.1626506,9.298534,0.0,1,1,0
